id	speaker	dialogue
r2.outroLines[1]	Enemy	……ふふっ、信じたの？
r2.outroLines[2]	Enemy	待ちが東だなんて、本当だとは一度も言っていないわ。
r2.outroLines[3]	Enemy	さっき言ったわよね。自分で決めて払った、って。
r2.outroLines[4]	Enemy	違うわ。決めさせられていたの。
r2.outroLines[5]	Enemy	単騎待ちは、たった1枚を待つ代わりに――相手の失う額が2倍になるの。
r2.outroLines[6]	Enemy	役満は4倍。その2倍だから、積まれた血の8倍ね。
r2.outroLines[7]	Enemy	全部いただくわ。
r2.outroLines[8]	Enemy	あら、契約書に垂れちゃった。
r2.outroLines[9]	Enemy	署名の隣に、点がひとつ増えただけね。
r3.abilityExplainLines[0]	Enemy	これが能力よ。使えば対局を一気にひっくり返せる。
r3.abilityExplainLines[1]	Enemy	代償はあなたの血。体力そのものよ。
r3.abilityExplainLines[2]	Enemy	私のゲージ、見てごらんなさい。
r3.abilityExplainLines[3]	Enemy	……さっきの半分も残っていないでしょう？
r3.abilityExplainLines[4]	Enemy	なあに、その顔。
r3.abilityExplainLines[5]	Enemy	強くなるのに何も払わない方法があると思った？
r3.abilityExplainLines[6]	Enemy	使えるのは手牌フェイズの間だけ。使うなら今よ。
r3.abilityExplainLines[7]	Enemy	能力は画面の『能力』ボタンから確認できるわ。
r3.abilityIntroLines[0]	Enemy	手牌が決まったわね。ここからが本番。
r3.abilityIntroLines[1]	Enemy	能力が使えるのはこの手牌フェイズの間だけ。打牌が始まったら、もう使えないわ。
r3.abilityIntroLines[2]	Enemy	見せてあげる。よく見ていなさい。
r3.enhanceExplainLines[0]	Enemy	それと、能力そのものを強化することもできるの。
r3.enhanceExplainLines[1]	Enemy	『役強化』で積んだ翻数は、その役にずっと乗り続けるわ。
r3.enhanceExplainLines[2]	Enemy	どの役がどれだけ育っているかは、役一覧で見なさい。
r3.introLines[0]	Enemy	次は能力の話よ。『自動』で手牌を作りなさい。
r3.onBattleStartLines[0]	Enemy	さあ、打ちましょう。
r3.onYakuListOpenedLines[0]	Enemy	これが役一覧よ。役ごとの翻数と、強化された分が並んでいるわ。
r3.onYakuListOpenedLines[1]	Enemy	さっき私が強化した『清一色』も乗っているでしょう？
r3.onYakuListOpenedLines[2]	Enemy	狙う役を決めるときは、ここを見ること。
r3.outroLines[0]	Enemy	……ロン？
r3.outroLines[1]	Enemy	うそ。あれだけ払って、こっちが振り込むの？
r3.outroLines[2]	Enemy	能力を使っても、放銃すれば意味がない。血だけ捨てたのと同じね。
r3.outroLines[3]	Enemy	……ねえ、気づいてる？
r3.outroLines[4]	Enemy	私のゲージ、あなたより短いのよ。
r3.outroLines[5]	Enemy	……次で最後にしましょう。
r3.abilityShowcases[0].beforeLines[0]	Enemy	まずは『透視』。あなたの牌を3枚、勝手に覗くの。
r3.abilityShowcases[0].afterLines[0]	Enemy	ほら、印がついたでしょう。その3枚は私に丸見えよ。
r3.abilityShowcases[1].beforeLines[0]	Enemy	次は『牌交換』。要らない牌を山と入れ替えるわ。
r3.abilityShowcases[1].afterLines[0]	Enemy	これで私の手はずいぶん良くなった。
r3.abilityShowcases[2].beforeLines[0]	Enemy	最後は『役強化』。決めた役の翻数を+1するの。
r3.abilityShowcases[2].afterLines[0]	Enemy	『清一色』を選んだわ。同じ手でも打点が跳ね上がる。
r4.introLines[0]	Enemy	最後の局よ。
r4.introLines[1]	Enemy	今度は自分で組みなさい。13枚、自分の手で選んで『決定』を押すの。
r4.introLines[2]	Enemy	……どうしても組めないなら『自動』に頼ってもいいわ。好きになさい。
r4.onBattleStartLines[0]	Enemy	手が決まった。もう引き返せないわ。
r4.onBattleStartLines[1]	Enemy	ここから先に賭かっているのは、お金じゃない。
r4.onBattleStartLines[2]	Enemy	一枚打つたびに、どちらかが減るのよ。
r4.onBattleStartLines[3]	Enemy	……ねえ。
r4.onBattleStartLines[4]	Enemy	ひとつだけ教えてあげる。
r4.onBattleStartLines[5]	Enemy	私も、あなたと同じだけ抜かれているのよ。
r4.onBattleStartLines[6]	Enemy	さあ、始めましょう。震える手で選びなさい。
r4.onHandFilledLines[0]	Enemy	13枚そろったわね。その手で本当にいいの？
r4.onHandFilledLines[1]	Enemy	決めたなら『決定』を。迷うなら『自動』を。
r4.outroLines[0]	Enemy	……九蓮宝燈。
r4.outroLines[1]	Enemy	しかも九面待ちですって……！？
r4.outroLines[2]	Enemy	きゃあああ……！
r4.outroLines[3]	Enemy	……ねえ。
r4.outroLines[4]	Enemy	この血は、"払った" のかしら。
r4.outroLines[5]	Enemy	それとも、"抜かれた" のかしら……
r4.outroLines[6]	Enemy	決めるのは……あなたなのね。
ending[0]	Enemy	…………
