状況,表情,セリフ,セリフ2
プレイヤーが放銃した時,キメ顔,ロン。……ふふっ、見事アタリ牌を引いたわね。,
プレイヤーが役満に放銃した時,ピースキメ顔,役・満・よ♡ その牌、完全にアウト！はい、人生終了！,
プレイヤーが安い手に放銃した時,通常顔,かすり傷よ。命拾いしたわね。,
敵が放銃した時,通常顔,くっ……！まさか、これがアタリ牌だったなんて……！,
敵が役満に放銃した時,通常顔,バカな……役満だと！？イカサマじゃないの！？,
敵が安い手に放銃した時,通常顔,チッ、安手ね。そんなので勝ったつもり？,
ドラ爆でアガった時,ピースキメ顔,アタリ牌にドラがたっぷり乗ってて嬉しいわ。ボーナスステージね。,
相手が打牌した時1,通常顔,{0}、これでどう？,
相手が打牌した時2,通常顔,{0}よ。さっさと引きなさい,
相手が打牌した時3,キメ顔,ここは{0}ね。安パイよ,
相手が打牌した時4,煽り顔,ふふっ、{0}をプレゼントするわ,
相手が打牌した時5,通常顔,{0}で様子見ね。,
プレイヤーが打牌した時1,通常顔,{0}ね。まぁ妥当な選択かしら,
プレイヤーが打牌した時2,煽り顔,{0}？ ふぅん、焦ってるわね,
プレイヤーが打牌した時3,通常顔,{0}か……なるほどね,
プレイヤーが打牌した時4,キメ顔,{0}を切るなんて、強気ね,
プレイヤーが打牌した時5,ピース煽り顔,{0}？ その牌、あとで後悔するかもよ？,
クリックされた時1,煽り顔,何よ、今アタリ牌を探してるの？,
クリックされた時2,通常顔,気安く触らないでくれる？,
クリックされた時3,煽り顔,なに？ 命乞いなら聞かないわよ,
クリックされた時4,ピースキメ顔,そこは急所じゃないわ。残念ね,
クリックされた時5,通常顔,手牌に集中しなさい。命が懸かってるのよ？,
クリックされた時6,キメ顔,触ったら、アガリ放棄にでもしてあげようかしら,
クリックされた時7,ピース煽り顔,余裕ね。それともビビって手が震えてるの？,
クリックされた時8,煽り顔,ちょっと！ ワタシの顔にアタリ牌は書いてないわよ！,
クリックされた時9,通常顔,フフッ、可愛いところあるじゃない,
クリックされた時10,キメ顔,いい度胸ね。次は腕ごと切り落としてあげようか,
クリックされた時11,通常顔,集中が切れた？ 諦めるなら早い方がいいわ,
クリックされた時12,煽り顔,そうやってワタシの思考を乱そうってわけ？,
クリックされた時13,通常顔,バカね、盤面から目を離すなんて。,
クリックされた時14,ピースキメ顔,触るならせめて、勝ってからにしなさい,
クリックされた時15,キメ顔,アナタの指、次でポンしてあげようかしら,
クリックされた時16,煽り顔,まさか、ワタシがアタリ牌を教えてあげるとでも？,
クリックされた時17,通常顔,あら、泣き言でも言うつもり？,
クリックされた時18,ピース煽り顔,キモいんだけど。……って言ってほしいの？,
クリックされた時19,煽り顔,そんなにジロジロ見ても、透視なんてできないわよ,
クリックされた時20,通常顔,さっさと打ちなさい。ワタシの時間は高いのよ,
